review_text_clean,sentimen
knpa pas top up roblox mlah eror,positif
aplikasi emoney mahal,netral
bte ah limit juta coba deh limit naikin jita gitu,netral
puas aplikasi dana mudah tuk simpan kirim uang,positif
mudah gak ribet,negatif
top markotop mudah transaksi,positif
suka potong uang,positif
yg transfer rangin rb skrng admin,netral
aplikasi sampah gak lapor butuh bantu lempar kesana kesini ppk,negatif
dana cicil nya gk,netral
info dana cicil gak minn update apk nya,negatif
aplikasi sih bagus cuman kadang top up refresh masuk saldo bikin panik relog aplikasi sinyal bagus tolong developer baik,positif
kasih bintang karena uang dana sisa ribu bom apain pas cek dana uang sisa ribu heran sisa ribu uang ambil ribu tolong jelas,netral
premium guna sesal top dana niat transper urgent eh suruh premium upgrade premium tolak alas ktp edit,positif
apk gk j las update baru informasi maki gk jebo hilang saldo hp riset,negatif
gmn y spy dana cicil aktif,netral
terima kasih dana bantu butuh sy,netral
bagus bngt servicenya,positif
mudah cepat terimakasih,positif
cs ana ai tolong ganti manusia cs ana bantu,netral
bagus bantu aplikasi,positif
tahun pakai dana skrg isi pulsa dr jam jam pulsa masuk aktivitas proses dr jam dm ig respon nya lelet admin dana live chat bot aja,negatif
dana sa gat mudah transaksi,positif
aplikasi ny knpa yaa,netral
fitur dana instan blum muncul,positif
kasih bintang suruh update deposit,netral
voucher gimmick doang kah,positif
sukak pakai dana,netral
hallo apk si udah upgrade restart aja ganggu liat activity ga tarik tunai hilang chat ana ga udah premium parah banget apk,negatif
bagus bantu kebutuhn,positif
aplikasi dana mudah kirim uang,positif
saldo kurang tarik app,negatif
hilang aplikasi destop,negatif
ko uang masuk masuk yaa,netral
gimana apdet versi baru gabisa masuk gimana kirim bukti nya orang gabisa masuk aplikasi dana nyaa,negatif
developer tolong baik dana potong banget transfer k k kurang k aja tolong potong uang please baik,negatif
dana cicil petcuma,netral
buset biaya adem lgi mending pindah aplikasi,netral
akun dana klau ganti akun ktp yg pakai susa upgrade nya,netral
kecewa apk dana udah pakai apk blom kasih dana cicil blom muncul,negatif
bagus manfaat orang,positif
kirim otp ngapa spam link buka update parah,negatif
sih upgrade premium tulis nya salah order kyc kemaren udah bener upload ktp fisik d tolak kecewa asli udh chat ana kali gak ubah aja salah kyc,negatif
ko dana ga dana cicil sih,negatif
aplikasi dana butuh dapat dunia mudah transaksi bayar simpel aju jempol bintang pokok ngga ribet ngga kecewa kali nemu aplikasi dana donlaod sajah lancar maksud jalan lancar terima kasih dekolaktor,positif
ny bingung next ny okeh ajah,netral
biar baca aja tolong sesi gampang login kala akun besok sesi sesi uang hilang tolong dibenerin sesi,negatif
aplikasi busuk beli kuota aplikasi dana habis jadi beli kuota dana transaksi proses nunggu hari penuh proses gak batal,negatif
kalo transfer mudah,positif
ken fitur dana cicil telat gak bagi premium lo tolong kasih fitur dana cicil hehe,netral
sayang kluar dana cicil bahdal uda,netral
sengaja kasih bintang rugi uang hilang aplikasi dana ribu tanggung nya aplikasi dana mohon pakai aplikasi transaksi apa,negatif
tranfer akun akun aja susah banget muka nik ktp tolong akun yg bsa transfer akun,negatif
harap d tingkat susah log in gatau knapaa dlu aplikasindana lancar lancar aja tpi susahcbanget,positif
punya mlh ga buka ya susah trs,negatif
aplikasi mudah bobol hacker uang bobol juta aplikasi sistem bobrok hati teman yg korban kurang canggih nya sistem mudah dihacker,negatif
coba tolong dana nya suka keluarin uwang org apk uwang hilang izin,positif
kali update fitur yg canggih aman ya min thx,positif
puas hasil nya,positif
alam aplikasi dana bantu,netral
verifikasi ribet verifikasi akun yng terlogin hp nya nga ush log out,negatif
dana hilang transaksi ambil lazada udah ambil,negatif
jos gandos pokoe,positif
dana instan susah kalo gak mending dihilangin aja aplikasi,negatif
ya daftar dana gk,netral
puas aplikasi dana ringan isi dompet proses cepat cair,positif
cepat murah simpel,positif
min dana cicil gabisa pake,negatif
tolong kembali dana yg sedot maxtohub,netral
respon lambat ga sesuai yg,negatif
aneh apk dana update terima transfer gilir transfer bank ga aneh urgent sebal respon nya baku ga dapet solusi apa coba perbaikin ga nyaman gitu takut saldo nya ilang,negatif
knpa hrus upgrade trik tunai susah bgt pdhl updte jg susah ntah krna,negatif
mohon buatin fitur login sandi fingerprint aplikasi bank,netral
hallo admin mohon bantu akun dana sya a n ruli ariyadi orang mohon bantu blokir akun dana salah makasih,netral
bantu bayar online,netral
mohon bantu login akun posisi email udah ngga aktif kode verifikasi masuk email nomor aktif kasih pilih verifikasi pake email nomor hp ribet bangett udah hubung call center ngga muter muter hahh,negatif
bintang dlu karna dana ku transaksi pakai dana pinjam dana cicil susah ampunn,negatif
tolong baik gak masuk koneksi internet putus tulis bawah internet bagus saldo tolong baik,netral
orang pakai aplikasi sesal aplikasi bagus layan nya buruk hapus otomatis akun yg daftar pakai sulit,negatif
fast n furious,positif
tolong yah baik langgan saldo potong kali proses kece dana lambat uang satu beli paket data potong universal tv r harap saldo hilang kembali,negatif
gampang bagus deh,positif
aplikasi rusak miskin saldo potong rb konfirmasi milik akun pin tipu kelen kena pasal kelen aplikasi dompet digital udah x nya saldo ku potong konfirmasi pribadi pin,netral
bantu punya fitur dana pinjam premium transaksi,positif
efisien cepat transparan bantu,positif
dana versi oppo,netral
bener bener gak solusi kah otp wa gk buka trus kartu nmer nya ntah dmna,negatif
dana tampil kode qr bayar qr,netral
aktif fitur dana cicil ku,netral
bantu muncul fitur dana instan,positif
data transaksi suruh upgrade premium saldo potong suruh upgrade premium premium nya kece transaksi tanggung dana biar mana uang mana tanggung dana gitu hilang dana mana pergi tampa kece data transaksi upgrade gak transaksi awasin ketat dana,positif
tinggal tambahin saham saham yg percaya mint udah bagus udah reksa dana dana tpi ga suka kalo inves reksa dana kalo tolong in saham audit mint,positif
dana proses cepat alangkah promo tks,positif
knpa login gagal trs y gk bs msk,negatif
aplikasi gak buka konfirmasi langsung bayar langgan gue udah kali ya,negatif
dana cicil ko gk klik,netral
dana ribet login pake kode otp kartu aktif uang dipake hubung cs sulit verifikasi wajah nya,negatif
masuk bug mi,negatif
suka banget dana mudah belanja,positif
bagus akurat cepat,positif
aplikasi nya bantu utk transaksi,netral
udah transaksi dana cicil muncul,netral
aplikasi baik bayar,netral
fitur dana cicil aktif mengunakan dana,netral
mantap aplikasi mudah,positif
aktivitas dana buka,netral
tingkat mutu biar senang dana thanks dana,positif
masuk dana sendri sedanfkan dana saldo tarik saldo sendri aja susah bgt gimna tanggung jawabanya danagimana saldo yg dana ana bantu,negatif
dana ko fitur dana cicil,netral
apk dompet digital bantu mudah,positif
akun dana kena hack,negatif
akun muncul pitur dana cicil,netral
tolong akun cepat dana cicil min,positif
aplikasi aneh tf uang dri tgl kmren ga masuk pulaa selesai tetep ga kirim pending trs mohon jelas,negatif
kak min mintol donk akun q ko g tf semenjak q ganti no akun dana q q alih dana premium g no q hilang,netral
umur umur kali kena saldo ilang transaksi ga tahu transaksi nya pin transaksi pin biar aman aja saldo ilang pas cek transaksi gaada transaksi apa aneh nya transaksi nya gaada pin saya tolong dana takut nya depan gitu males kalo gitu mah nyimpen duit kagak aman,positif
dana cicil eror,netral
apk dana gk buka perangkat diroot,netral
gaada fitur dana cicil premium transaksi,positif
mudah jual beli online,positif
bagus selesai alami aman,positif
ayo bisa dana cicil,netral
dana cicil fitur php,netral
kena potong k uang udah pas pas,netral
ga blum daftar no pin ya tau pin nya aneh,negatif
aplikasi sampah kode otp hubung ana layan becus,negatif
bismillah aktif fitur dana cicil,netral
dana ga dana cicil nya,negatif
gua ngk dana cicil,netral
bagus sih mantap,positif
dana cicil blum visa,netral
dana ku gak dana cicil ribu gak dipakek gak cicil bayar,negatif
rugi paket data sy mendownloadnya ulang kali unjung ttap henti me nggapi,netral
apk gak rugi gampang bobol maling masak saldo kurang karna bobol ngirim uang tolong ya baik apk nya pakai hapus kapok,negatif
terima kasih dana mudah ku,positif
keren dehh pokok ga nyesel udah download,negatif
ga bosen apk update x hari updatenya,negatif
tolong aktifin dana cicil,netral
bagus akes cepat transaksi baik fictur dana instan biar,positif
ga ribet transaksi,negatif
aplikasi gila dana istant udah bayar lunas gilir udah minggu pas butuh tarik nggak tau gitu mending nggak bayar pindah aplikasi gopay,negatif
mohon bantu dana cicil udah fitur dana cicil tp blm aktivasi,netral
dana cicil tdk,netral
aman simpan uang cepat transaksi,positif
tolong akun dana muncul dana cicil tolong bantu aktif,netral
senoga dana cicil nya,netral
dana gua gaada fitur dana cicil nya,netral
tolong aktif fitur dana instan ka akun ku terimakasih,positif
tolong bantu akun bened ya bantu gk masuk,netral
bagus lancar administrasi uang transaksi mudah sukses trus,positif
apk bagus tabung,positif
dana instan blm muncul,positif
gratis cepat alih sungguh rugi,positif
knp blum ad dana cicil padhal tranksaksi udah blan blum ad muncul,netral
pindah akun akun yg sulit sy kecewa,negatif
sma notif masuk saldo ga masuk mutasi bantu cs suruh masukin ref salah te,negatif
muda masuk pin kali,netral
lapor kait pindah akun dana nomer buat lapor cs dana suruh tunggu notifikasi masuk email tanggap daru dana,netral
parah uang ilang,negatif
moga dapet dana instan,positif
aplikasi sungguh bantu limit tambah,netral
gimana sih masuk layar item,netral
gimana gak login apk dana nya harap baik cepat nya penginstalan apk nya gagal gimana,negatif
smuga cepad muncul dana cicil,netral
semenjak update gk masuk akun dana udah hapus instal kali kali login skali gak masuk lg akun dana tolong pnyedia aplikasi baik masalh,negatif
tolong bentulin aplikasi nya ga aman nge hack,negatif
biaya adminnya gede bget,netral
buruk nie aplikasihnya,negatif
kirim cepat ngga ribet mantap,positif
dana potong nya gak ngotak,negatif
update buruk nambah bagus,positif
uang ku habis kena depo,netral
daftar tahun blom kasih dana cicil laen muncul ga muncul,negatif
apk gk fitur dana cicil,netral
pakai dana cicil,netral
parah dana cicil hilang,negatif
dana cicil hbs hapus chace knp hilang dr aplikasi dana,negatif
buka aplikasi tampil trus masuk akun loding gimna kirim scrensot aplikasi dana orang gak masuk,negatif
aplikasi bantu sayaa,netral
apk tipu pindah akun gagal verikasi ktp wajah yg pake apk gk daftar saldo mu akun masalah gk ambil,negatif
admin dana tolong bantu akses akun dana masuk apk dana koneksi internet nya hilang,negatif
dana ko dana cicil,netral
tolong baik lgi klaim hadiah reward tolong baik,positif
nyaman bantu transaksi,netral
cepat kena biaya potong kirim,positif
presisi akurat perfect,netral
mantap pokok transaksi,positif
karna dana muncul fitur dana cicil,netral
apk problematik banget kendala pake aplikasi dana gak nyampe merchat saldo udah potong udah gitu responya nunggu bulan saldo butuh butuh nyangkut saldo x alami last time pake apk dana cs nya lambat,negatif
sagat bagus apk suaka,positif
dana cicil nya bayar lunas,netral
misi dapetin k cuman mentok k doang oi misi nya rang nanggung bgt,netral
hp hilang otomatis kartu sim hilang email lupa login kode otp tolol bilang aman susah cust sih duit gua tahan dalam gajelas ambil tidak nanya chat bot ana robot ga yg yg pindah gua ga makek ni apk mendi pakek ovo,negatif
sayah masuk aplikasi,netral
tahun pake dana fitur khusus ga dana cicil dana pinjam guna sempat,negatif
verifikasi email whatsapp sms aja,netral
ayang dana goals gak ambil kulah nya gagal mulu tolong tindak,negatif
yg trouble gk buka dana games udah lapor tpi tetep aja tangan sang lot mending pindah belah kendala,netral
tolong kasih dana cicil min,netral
kirim uang cepat,positif
dana oke cepat transaksi,positif
aplikasi aman saran pakai aplikasi aja dana gak aman,positif
dana batu cuman lom dana cicil nya,netral
dana top up gak masuk dana gimana sih,positif
akun dana dana cicil nya akun teman yg,netral
ganti akun dana masuk cuman tulis masuk aja ngak login tolong baik biar bintang,netral
puas mudah transaksi,positif
mohon bantu akun dana pinjam saldo dana cicil dana instan,positif
saldo tbtb hilang k mohon jelas,negatif
sengaja kasih bintang biar baca ni aplikasi gak ganti nomor susah banget bilang nomor akun nomor gak dipake dana ana ditanyain gak heran banget deh susah banget pake ni apk ribet muter muter,negatif
tolong sya fitur dana cicil,netral
semenjak ufdate ribet masuk susah aduh parah,negatif
dana cicil gw knp tb ilang gajels bgt ni apk,netral
proses tf cepat gratis,positif
top up saldo masuk parah sering gin rugi,netral
apk dana update buka,netral
dana cicil ga buka,negatif
waw mantap banget,positif
proses cepat amanah,positif
sy tunggu fitus dana paylatter dana pinjam nya,netral
knp ya dana ko error login ngk trus udah lakuin ngk masuk login udah update tpi error sampe ngk buka error kah dana udah kasih bintang tpi ttep error udah minggu ngk login masuk dana gimna dana kecewa,negatif
nyaman pake dana,netral
aplikasi sudahbbagus mantap,positif
halo komplain ya ngirim pulsa loading doang nih ya paket tuh apk nya trus loading paket masalah pas baca ulas teman teman keluh nama apk nya g ganti aja dana loading terimakasih,negatif
respon kembali dana live chat susah,negatif
mudah utk transaksi pokok top markotop dana,positif
orang akun moga teliti mudah anti akses email orang milik akun hilang uang,netral
instal apk klo saldo hilang apk rugi nasabah bngt tanggung nya,negatif
apl yaa masuk jaring masalah sinyal bagus nyimpen uang situ make gak coba tolongin gmana solusi,netral
oky ga dana cicil akun,negatif
ah payah dana ga aman teranfer gagal saldo ga saldo hilang mna ap prlu lporkan ojk,negatif
suka aplikasi bagus bembantu banget transaksi transfer uang cepat ribet terimakasih dana,positif
akun dana muncul dana cicil nya udah transaksi dana,netral
mantap transaksi cepat potong,positif
suka banget dana kesini ngga bisa tagih padah ngga utang cari bukti transaksi hutang ngga karna emang ngga utang tagih suruh bayar cicil,positif
kerja nunggu qris bisnis ga muncul ground store,negatif
good gob bantu,netral
bagus banget sayang potong ya,positif
sih bagus aja pake dana buka aplikasi dana mohon bantu isi saldo dana mohon perhati nya,positif
masuk akun suruh masuk pin kali sayaa tau milih lupa pin situ suruh kirim wa kirim habis tulis selesai jet ulang,positif
serius aplikasi dana bikin emosi ambil uang aj asa nyolong upgrade dana premium susah ampun,negatif
aplikasi tolol top up potong terima transfer potong kirim uang potong saldo dana cicil pajang doang gak pake aplikasi rugi gak untung,negatif
buka hp samsungj,netral
dana eror engga buka sinyal penuh bilang jaring stabil,netral
layan sngat puas dngan akun dana mudah praktis blanja dalam akun dana makas akun dana moga susksel aman lan lancar jaya,positif
uninstall ah klo top up x adminya males,positif
awall nya praktis pnya aplikasi dana tpi knpa yah dana nya ga buka,negatif
mantap cepat tampa lelet,positif
aplikasi gajelas saldo sedot kali saldo sedot kali bikin aplkasi ya canggih kecewa berat,negatif
gak instal dana notif perangkat root,negatif
alhamdulillah mudah aman percaya,positif
coba dana depan responsif kirim uang mandir blm masuk dana udah hasil,netral
transaksi isi dana tagih rb sekian gimana tolong kasih jelas,netral
gak ngerti dana cicil tagih gitu total nya gede bangett teruus x beli pulsa no saldo ttep segitu asli gak ngerti,negatif
kasih bintang barusan banget kemaren uang transaksi kenal transaksi google play gk tau dri situ uang liau ribu,netral
mudah dgn dana makasih banget hadir,positif
kena admin klo transaksi,netral
aplikasi dana bagus keren,positif
aplikasi dana bukak isi,netral
fitur dana cicil akses syarat penuh,netral
beli paket kuota myim bayar pakai qris dana uang hilang ribu kuota tdk masuk hp adu dana bola pimpong subuh adu sampe malam kerjax cm suruh kirim bukti transaksi bolak sampe capek kirim bukti transaksi tdk solusi ujung x dana suruh hubung merchentx pelayananx parah mikir kali pake aplikasi yg minim solusi jadi tp sdh bbrpa kali,negatif
moga dana jaga aman guna nya terimakasih,positif
bagus kakak bantu,positif
terimakasih aplikasi batu,netral
bagus aplikasi transfer mantep poko nya,positif
dana nyangkut transfer shopepay konfirmasi masuk riwayat shopepay masuk lapor banget balesnya jelek banget dana,negatif
aplikasi dana is the best bantu transaksi,positif
bangus transaksi cepat,positif
sengaja kasi bintang kapok uang habis bobol dana,negatif
bantu dlm desak,netral
hadeh sengaja bener kasih otp pdhl wa nomor kartu aktif mas dimintain otp herann,netral
sengaja kasih bintang biar baca tolong bngt min inimah pdhl sblmnya sdh premium tpi skrng sdh ngga premium pas ana mlh muter jwban ny pdhl saldo akun transaksi jg gmna min,positif
aplikasi idiot buka akun sendri blokir pas ad uang apk dajal dompet digital cacat,negatif
tolong email ga pas login kode otp nya ga masuk karna email ga aktif chat ana pengaruh,negatif
kenaapa aplikasima eror mulu otp,netral
kaga buka dana nya,netral
dana transaksi mudah,positif
puas kasih bintang keren,positif
ga suka ngebug udh foto qris kaga pas tf,negatif
nisa masuk akaun perihal nomor tiadak aktif saldo,netral
kadang hilang uang simpan,negatif
tolong kasih fitur cicil dana,netral
manfaat praktis guna dana,positif
halo kak dana buka alas jaring tetatpi hp,netral
tolong aktif pitur dana cicil,netral
puas layan aplikasi memuaskn,positif
fitur dana cicil limit rp lucu,netral
knapa akun sya gk masukz coba masuk jaring masalah mulu pdahal paket wifi aman aman aja gmn nih tolong baik ya apk nya susah bnget masuk,positif
kirim uang rekening trouble jam lg,netral
ga konex pas buka masukin no langsung trbuka kmbali lg terus,negatif
ganti hp gak masuk no hp,negatif
vitur dana cicil,netral
gk login blk lg,netral
muncul fitur dana cicil pas buka blank eror putih doang payah,negatif
guna aplikasi dana transaksi,netral
g k buka akun dana,netral
aplikasi bagus banget bantu butuh hidup,positif
mulculkan dana cicil kasih bintang,netral
masak no sdh gk aktip masuk dana pdhl dh trdaftarr susah bnget gk tu gimnn pdhl msih saldo didlmnya msu login gk,negatif
udah gk isi coin tt pdahal kemarin,netral
aplikasi dana bantu urus jd mudah,positif
apgret nya kelamaa,netral
good banget dah,netral
sy ga dana cicil tagih cicil yg ga sy laku konfirmasi cs ga jelas,negatif
bintang biar aplikasi kali kali sedot dana milik gada tagih hutang apa mending pake gopay aja amanah uang hilang dana,netral
mudah muantepe pol,positif
jalan lancar praktis,positif
bagus kali ini aplikasi,positif
aplikasi lot bgt,netral
emang aplikasi sampah,negatif
koneksi dana kenaa putus aplikasi lancar,positif
mantap tuk transaksi,positif
aktivitas apa saldo kuras tabung emas nyesel nyimpen uang dana,negatif
mantaap dana cicil nya gak pake haha,negatif
top markotop pis,positif
singkat padat detail,netral
aman bagus fast pay no dah ga ribet trx no yh,positif
saldo dana ku akun kena suspen gk perna ngelakui kriminal sengaja kasi bintang notif admin dana,netral
ya oke aja,positif
bantu simple ribet,negatif
gausa pake ni aplikasi dripada jadi kayak org,netral
update gak buka tuk beli pulsa n data,negatif
mudah praktis jos aplikasi finance simpel,positif
mohon baik jikah slah kirim nomor utuk kembali dana,netral
pin udah bener kendala udah minggu kayak gin tolong developer dana,netral
karna pake dana premium ribetnya,positif
top ap dana gak masuk,negatif
suruh ajuin dana cicil eh dapet limit nya cuman ribu gak dana cicil ribu,negatif
mantap dompet digital nya,positif
mudah tarik transfer uang jarak,positif
parah selesai update tdk bs d buka,netral
ku kasih bintang daftar nomor hp ulang ga,negatif
apk mantapp banget dah,netral
mw masuk akun dana gk bsa ya sebab ya,netral
aplikasi ribet jamin uang aq kena bayar tahu ku aja dana curi hubung pusat bantu ga,negatif
kecewa makan pake kendala gak pake dana tanggal please malu banget app status hasil merchant terima tengkar merchant erti proses nya kaya gin lapor proses dalih dana bilang hasil telpon cs mati nyebutin email ya salah ya customer tolong,negatif
server dana eror ya top up saldo rp barusan ko sampe bom masuk udah coba refles kali liat inbox ga tulis uang masuk akun dana top up indomaret terbuktu bayar transfer akun belu masauk akun bantu korup dit kalo gin rungkad ni top up delay coba tunggu x jam saldo ga masuk sedekah hedeh hedeh ga,negatif
ana jga gk buka coba metode tp gk muncul apa loading,negatif
makasih bantu dgn dana,netral
menu dana instan,positif
buruk loging akun dana saldo y,negatif
kesini pakai eror ga cepet cepet urus krjaan cek transaksi aja susah bngat wifi oke data oke tolong d baik,negatif
gimna min bisaa masukin pin aneh no nya udah ilangg ribet ana gabisaa ngatasi nya saldo gua gabisa ambill update muluu makan nya,negatif
update buka mlh buruk ky tmbelek ni apk,negatif
bagus bagus dana cicil hilang baru,positif
maksud apk nya gak mini market agen aja kena admin pemberitahuan transaksi dana ga worth it,negatif
aplikasi gambang transfer uang akun dana mudah beli pulsa data,positif
tdk login nomer bnar aktif sandi sdah dudah verifikasi wajah login bertulisksn yah kendala proses coba,netral
tolong dana jgn suka eror biar bagus,positif
barusan top up dana bni dana saldo ga masuk,netral
bagus sayang nya pilih nikmat fitur beta baru apk dana,positif
kasih dlu dana cicil limit laku nya dana cicil bantu ko gbisa aja tlong gimana,netral
uang hilang ga langgan nya,negatif
aplikasi dah jaringa asu uang gua gimana asu,netral
mohon izin admin dana temu tipu apk dana atas nama apk dana yg hadiah malam nominal jt rupiah mohon admin apk dana memperifikasi nya timbul resah tipu hadiah mohon kerja sama,netral
terimakasih dana bantu,netral
mohon aju dana cicil terima klw ana yg hubung aaja gk respon,netral
ganti no ga sih,negatif
bagus bantu fitur dana cicil terimakasih,positif
apk nya mudah manfaat terimakasih,positif
gimana min akun beku solusi cs gabisa aktif sedia verifikasi kak parahh bgtt yaa kak gada solusi cs nua,negatif
bantu layan cepat terima kasih dana,positif
dana cicil gak dipake,negatif
toap saldo sopeepay jaga masuk aplikasi udah tipu orang,netral
aplikasi sangant mantap bantu transaksi sayang dana dana cicil,positif
dana klo no hangus verifikasi nya ktp aja kn daptar pake ktp nik jd ribet klo kartu hilang hilang saldo dah pin masuk muk masuk ehh otp kartu hilang,negatif
aplikasi bagus batu,positif
bantu transaksi dlm,netral
tolong dana ko saldo potong tolong ganti ubah transaksi transaksi potong kali potong rugi mohon dana kembali mending ganti metode transaksi uang butuh suka potong,positif
uang hilang dana aju cs dana estimasi udah,negatif
apk dah gk jls skrng saldo potong suka eror,positif
udh download aplikasi dana loding trs g buka mohon d bantu,netral
bagus transaksi mudah mudah paham,positif
sngt bantu dlm transfer tdk pake,netral
boos dana jta lo ambil bangke,netral
fleksibel praktis aman,positif
tanggap mulu gabisa dipake,negatif
mohon dana cicil cicil,netral
dana aplikasi maling suka motong duit gua potong mulu mutasi,positif
gratis biaya kirim,positif
hati hati guna dana saldo hilang rp oknum cs nama vara tim resolusi nya lapor tanggal suruh tunggu tanggal kembali saldo mudah nya bilang janji saldo sila tunggu,negatif
suka aplikasi dana pakai aplikasi,positif
tarik saldo dana bisnis live chat bantu,netral
pakai tahun dana cicil gk aneh,netral
apps dana mantap,positif
kecewa uang hilang top up e toll mandiri aplikasi dana kali saldo rb rb rb top up rb saldo dana potong masuk e toll hubung pusat bantu aplikasi dana tanggal desember penyelasaian suruh tunggu lanjut alias hilang via pusat bantu bankmandiri suruh tunggu live chat pulsa kuras habis,negatif
aplikasi gampang bobol rentan sedot dana,positif
mantap poko trimksih bnyk dana,positif
dana yg hormat akun dana bom dana cicil tolong dana update baru cepat,positif
gua gak login dana luh otp trus sdangkan kartu nya hilang d curi hp nya kn gua udah daftarkn wajah email gua ttp ajh gk login jmbut,negatif
bantu tranfer uwang karyawan uwang aman,positif
top up saldo brizzi udah sukses kartu brizzi masuk udah komplain nunggu uda gak kabar masak uang gak,positif
tolol kalo adu ngomong nya muter,negatif
masuk aplikasi dana suruh baharu nomer udah gak aktif,negatif
ngisi etol rb tanggal sampe skrang ga msuk masuk nunggu skrang udah layan dana kacau skrangnmah lelet,negatif
bagus guna hari,positif
kesini cacad dana koneksi internet sinyal lancar,positif
guna bayar tagih,netral
beli emas transaksi hasil emas masuk,netral
hp infinix koneksi putus,netral
nyoba kali pakai,netral
pas masuk premium tdak buka ni aplikasi,positif
transaksi bug dana cicil d buka aplgi sya dana tpi d buka mohon develofer bantu,negatif
astaga apk ga banget lupa pin verif kode otp pin masukin pin salah gim coba astaga kecewa,negatif
harap bantu muncul dana cicil,netral
ku engga klik dana cicil layar putih mohon bantu cek terna saksi keluarga teman,negatif
bagus karna kena bg ga liat tanggal kirim teransfer,negatif
login lupa pin ngurusnya lupa pin ribet bgt pdhl kalo yg aplikasi yg tinggal kirim kode otp vermuk pdhl bikin gaada indentifikasi wajah udah ngajuin bantu aja ga bantu sm arah cuman ulang aja gajelas,negatif
mudah kirim uang,positif
saldo sayah hilang ngga tau kmana pas top up pemberitauan nya masuk tpi saldo ngga tambah,netral
cerita nya inspirasi banget,netral
mudah urus gak ribet,negatif
dana gmna jelas uang gw yg dana sedot capcut uda gaada jelas kabar gimana loh gmnaa bantuin lu diem gw uda nyoba refund batal langgan yg nunggu sampe gada kabar gilir yg k aja uda konfirmasi alesan ga refund tolong lu gampang nya uang org sedot make verivikasi yg bagus,positif
aplikasi butut download aplikasi mending ewallet yg aja,netral
alhmdulillah transaksi mudah,positif
udah apdet blom dapet fitur dana intstan dana cicil ya udah,netral
gajelas saldo potong,negatif
nampak nya admin dana langsung gercep hihi oke deh min atas terima kasih min naikin bintang,positif
dompet serba promo potong harga beli merchandise,netral
fitur dana cicil nya,netral
lunas dana cicil tempo nya limit dana cicil laku ya,netral
ga loin jaring masalah aneh,negatif
upgrade premium ribet banget ujung ujung gak,negatif
ssering susah login tau knp bingung,negatif
ken hapus data kumpul,negatif
bagus ngirim mudah,positif
suka aplikasi karna mudah urus,positif
aplikasi bagus kasih rating,positif
pitur dana cicil ko gak,negatif
aplikasi tukang sedot saldo gak beli langgan apa nyedot saldo mulu ribu,negatif
layan dana bagus lambat proses nya,positif
dana parah mo komplain dm cs email telepon ga direspon kecuali bot saldo hilang hari history transaksi ilang hilang bukti komplain kah gimana nih tanggung ya ga cs bener sedia keluh langgan ati deh pakai dana saldo ilang transaski cc sukses ga komplain nombok kasihan merchant lapor mana,negatif
dana tolong bug nya dibenerin nyoba prem hasil ngirim duit gabisa suruh upgrade upgrade udah sukses udah coba download ulang hapus data dana ganti profile tetep gabisa ngirim tipe akun udah dana premium tetep gabisa ngirim tolong lahh dibenernin gimana,negatif
dian dana cicil,netral
nggak masuk top up ku ana nya bikin pusing aja chet,negatif
metode bayar alternatif yg gk no rekening bank,netral
alami selesai moga aplikasi dana oke terima kasih,positif
uang suka hilang bukti transaksi,netral
aplikasi urus mudah,positif
percaya aplikasi uang hilang topup kartu tol saldo dana potong kartu tol saldo ga tambah benar buruk,negatif
parah fitur dana cicil buka loady udh coba pake data wifi gabisa,negatif
loggin d akun dana karna nomor hilang hubung loggin kecewa poll dana,negatif
jelek aplikasi sampah coba buka akun dak masuk,negatif
kirain upgrade premium nunggu udah aja hadehh saldo nya kaga tarik update premium gabisa,positif
muas transaksi cepat,positif
aplikasi nya bagus bantu,positif
tolong dana cicil nya kaka,netral
susah yah akun dana pake otp no hilang akun uang jt parah udah x coba aja puter puter hati hati pake app terouma uang angus jt gegara no hp hilang,negatif
suka dana hm,positif
aplikasi dana hp ngk buka buka muncul kalimat sayang dana berhentik solusi custamer servis dana ngak solusi bentar langsung putus saluraannya ana log in aku saldo atas ratus ribu tolong solusi kesini buruk guna setia dana,netral
kecewa banget pakai butuh tolong samaa dana bantu tipu kali prosedur yah guna dana kecewa kali kali,negatif
taik banget dana saldo potong tau transaksi laku apa,netral
buruk transaksi uang kebal,negatif
aman jamin mantap,positif
kak tolong aktif fitur dana cicil nya udah menuhi syarat muncul fitur nya,netral
aplikasi burun bantu,netral
dana ribet baik diribetin gw gabisa login akun dana gw otp whatsapp otp gagal kirim whatsapp aplikasi dobgo,negatif
muas karna dana gak dana cicil,negatif
mantap dana mudah transaksi jngn lupa ya bos dana bonus,positif
fitur dana cicil ga diaktivasi gimana,negatif
maen dana depo jt hari dpt bawah,netral
dana instan muncul smsek udah pakai,positif
tong baik sistem mu,netral
aplikasi yg aman nabung,positif
alhamdulillah pakai aplikasi dana transaksi mudah simpel,positif
transfer bank gagal tanggung uang hilang mana kasih keluh pake sistem chat robot jujur pake dana aplikasi gak tanggung,negatif
kendala bayar qris gagal aplikasi langsung aplikasi dana cicil blm sedia,negatif
apk simpel banget,netral
senang pakai dana,positif
terimakasih dana bantu memudahkakan transaksi uang pokok mantap,positif
diinstal ya aplikasi,netral
nomor dana hilang login ga verifikasi wa sms misa ana ga nyambung ga kelar gimana ga,negatif
ga dikit dikit admin admin admin gerak dikit adminnya segambreng,negatif
